id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,longitude,latitude,address,color
40100,Our Lady Queen Of Peace,,Middle & Suisman St,Pittsburgh,PA,15212,Pittsburgh-123,407,Church Kitchen,2,10/7/1985,10/7/1985,,,,200,7,1,,,"Middle & Suisman St Pittsburgh, PA 15212",#0000ff
40923,Cafe Allegro,51,S 12th St,Pittsburgh,PA,15203,Pittsburgh-117,201,Restaurant with Liquor,1,5/27/1986,5/27/1986,,92,,,7,,-79.98620007,40.42905695,"51 S 12th St Pittsburgh, PA 15203",#0000ff
40927,Third Presbyterian Church,5701,5th  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,407,Church Kitchen,2,5/24/1986,5/24/1986,,,,1250,1,1,-79.92937136,40.45041287,"5701 5th  Avenue Pittsburgh, PA 15232",#0000ff
40913,Jimbo's Hot Dog Co,1,Freight House Shops,Pittsburgh,PA,15219,Pittsburgh-119,201,Restaurant with Liquor,7,5/29/1986,5/29/1986,,29,,,7,,,,"1 Freight House Shops Pittsburgh, PA 15219",#0000ff
35974,T's Lounge & Restaurant,7526,Center Street,Pittsburgh,PA,15218,Swissvale,201,Restaurant with Liquor,0,1/27/1987,1/27/1987,,69,,,1,1,,,"7526 Center Street Pittsburgh, PA 15218",#0000ff
35956,Lemington Home For The Aged Rooms,1625,Lincoln Ave,Pittsburgh,PA,15206,Pittsburgh-112,314,Nursing Home/Personal Care Comb./Fee Exempt,2,1/1/1985,1/1/1985,,,96,,7,,-79.89312148,40.47207546,"1625 Lincoln Ave Pittsburgh, PA 15206",#0000ff
40706,Westin William Penn/Banquet Kitchen 17th Floor,530,Wm Penn Pl,Pittsburgh,PA,15219,Pittsburgh-102,211,Restaurant without Liquor,7,4/9/1986,4/9/1986,,1000,,,7,,-79.99658573,40.44059689,"530 Wm Penn Pl Pittsburgh, PA 15219",#0000ff
40712,Vic Novak's Choice Meats,29,Hazlett St,Pittsburgh,PA,15214,Pittsburgh-126,113,Retail/Convenience Store,1,4/8/1986,4/8/1986,,,,1250,7,1,-80.00444515,40.47527857,"29 Hazlett St Pittsburgh, PA 15214",#0000ff
40717,The Hello Shop,1025,West View Park Dr,Pittsburgh,PA,15229,West View,115,Packaged Food Only,3,3/14/1986,3/14/1986,,,,16,7,,,,"1025 West View Park Dr Pittsburgh, PA 15229",#0000ff
40696,Meals On Wheels / Perry Reserve,4530,Perrysville Ave,Pittsburgh,PA,15229,Ross,401,Adult Food Service,1,4/1/1986,4/1/1986,10/23/2014,,,10000,7,1,-80.01930016,40.5006114,"4530 Perrysville Ave Pittsburgh, PA 15229",#0000ff
40697,Salvation Army,100,North Avenue,Pittsburgh,PA,15212,Pittsburgh-122,410,Community Service Facility,1,7/8/1986,7/8/1986,7/3/2017,,,125,7,1,,,"100 North Avenue Pittsburgh, PA 15212",#0000ff
40656,Genesis House,185,Dakota Street,Pittsburgh,PA,15202,Bellevue,306,Traditional Boarding Home,1,1/1/1985,1/1/1985,,,4,,1,1,-80.05114692,40.50019506,"185 Dakota Street Pittsburgh, PA 15202",#0000ff
40658,The Sunset Lounge,623,North Ave,Pittsburgh,PA,15209,Millvale,212,Chain Restaurant without Liquor,3,4/14/1986,4/14/1986,,40,,,0,,-79.97340314,40.48600754,"623 North Ave Pittsburgh, PA 15209",#0000ff
40478,Kaufmann's / Cafe Nove',400,5th Ave,Pittsburgh,PA,15219,Pittsburgh-102,212,Chain Restaurant without Liquor,0,11/23/1986,11/23/1986,,75,,,7,,,,"400 5th Ave Pittsburgh, PA 15219",#0000ff
40451,Nicky's Grant Street,310,Grant Street,Pittsburgh,PA,15219,Pittsburgh-101,211,Restaurant without Liquor,1,1/23/1986,1/23/1986,,88,,,1,1,-79.99753562,40.43765188,"310 Grant Street Pittsburgh, PA 15219",#0000ff
40453,Wendy's Old Fashioned Hamburgers #1622372,6296,Steubenville Pike,Pittsburgh,PA,15205,Robinson,212,Chain Restaurant without Liquor,1,2/12/1986,2/12/1986,2/11/2016,95,,,7,1,-80.15347418,40.44741891,"6296 Steubenville Pike Pittsburgh, PA 15205",#0000ff
42122,Hank & Andy's,701-703,Larimer Ave,Pittsburgh,PA,15206,Pittsburgh-112,201,Restaurant with Liquor,2,3/25/1987,3/25/1987,,0,,,7,,,,"701-703 Larimer Ave Pittsburgh, PA 15206",#0000ff
40308,Chats,101,Marriott Dr,Pittsburgh,PA,15205,Greentree,202,Chain Restaurant with Liquor,7,12/3/1985,12/3/1985,,50,,,7,,,,"101 Marriott Dr Pittsburgh, PA 15205",#0000ff
40309,Concierge Lounge,101,Marriot Dr,Pittsburgh,PA,15205,Greentree,202,Chain Restaurant with Liquor,7,12/3/1985,12/3/1985,,14,,,7,,,,"101 Marriot Dr Pittsburgh, PA 15205",#0000ff
40310,Cahoots,101,Marriott Dr,Pittsburgh,PA,15205,Greentree,202,Chain Restaurant with Liquor,7,12/3/1985,12/3/1985,,130,,,7,,,,"101 Marriott Dr Pittsburgh, PA 15205",#0000ff
40292,Galleys,616,North Ave,Pittsburgh,PA,15209,Millvale,201,Restaurant with Liquor,7,11/12/1985,11/12/1985,,50,,,7,,-79.97292518,40.48589408,"616 North Ave Pittsburgh, PA 15209",#0000ff
40294,Bob Evans Restaurant #141,7412,McKnight Road,Pittsburgh,PA,15237,Ross,212,Chain Restaurant without Liquor,1,12/9/1985,12/9/1985,,149,,,1,1,-80.01209017,40.54177051,"7412 McKnight Road Pittsburgh, PA 15237",#0000ff
35591,McKelvey Headstart,,Bedford and Erin Ave,Pittsburgh,PA,15219,Pittsburgh-105,655,School Headstart,9,1/1/1967,1/1/1967,,,,32,7,,,,"Bedford and Erin Ave Pittsburgh, PA 15219",#0000ff
35357,China Village,3360,Library  Road,Pittsburgh,PA,15234,Castle Shannon,212,Chain Restaurant without Liquor,1,1/1/1989,1/1/1989,2/10/2016,30,,,7,1,-80.01300766,40.36841256,"3360 Library  Road Pittsburgh, PA 15234",#0000ff
35231,Travelers Social Club,6525,Hamilton Ave,Pittsburgh,PA,15206,Pittsburgh-112,250,Social Club-Bar Only,2,7/1/1981,7/1/1981,,70,,,7,,-79.91328236,40.45902506,"6525 Hamilton Ave Pittsburgh, PA 15206",#0000ff
35005,Flora's Grill & Grocery,2443,Wylie Ave,Pittsburgh,PA,15219,Pittsburgh-105,100,Caterer,1,5/4/1982,5/4/1982,,,,1120,7,,-79.97212119,40.44818428,"2443 Wylie Ave Pittsburgh, PA 15219",#0000ff
34913,Vocational Food Serv Training,1398,Page  Street,Pittsburgh,PA,15233,Pittsburgh-121,651,School Full Service Kitchen,9,6/17/1984,6/17/1984,,,,1000,1,1,-80.02472689,40.45169449,"1398 Page  Street Pittsburgh, PA 15233",#0000ff
34847,Locals,2318,Broadway Ave,Pittsburgh,PA,15216,Pittsburgh-119,201,Restaurant with Liquor,1,6/17/1984,6/17/1984,2/22/2011,30,,,7,1,-80.03140329,40.40200372,"2318 Broadway Ave Pittsburgh, PA 15216",#0000ff
34755,John McGinnis & Co,3759,Library Rd,Pittsburgh,PA,15234,Castle Shannon,111,Supermarket,1,6/17/1984,6/17/1984,,,,1300,7,1,-80.02247109,40.36416076,"3759 Library Rd Pittsburgh, PA 15234",#0000ff
34733,Fairywood Senior Citizen Ctr,3701,Old Orchard Ci,Pittsburgh,PA,15205,Pittsburgh-128,402,Adult Food Service,6,6/17/1984,6/17/1984,,,,100,0,,,,"3701 Old Orchard Ci Pittsburgh, PA 15205",#0000ff
34555,Pleasant Hills Middle School,404,Old Clairton Rd,Pittsburgh,PA,15236,Pleasant Hills,651,School Full Service Kitchen,9,9/1/1965,9/1/1965,,,,1548,1,1,-79.96187353,40.3302338,"404 Old Clairton Rd Pittsburgh, PA 15236",#0000ff
34363,Faber Coe & Gregg / Station Sq,7,Station Sq Dr,Pittsburgh,PA,15219,Pittsburgh-119,116,Chain Packaged Food Only,2,6/17/1984,6/17/1984,9/1/2011,,,250,7,1,,,"7 Station Sq Dr Pittsburgh, PA 15219",#0000ff
34340,Moone Manor Personal Care Residence,5433,Broad St,Pittsburgh,PA,15206,Pittsburgh-111,306,Traditional Boarding Home,2,1/1/1985,1/1/1985,,,3,,7,,-79.93439548,40.46560652,"5433 Broad St Pittsburgh, PA 15206",#0000ff
46557,South Vo-Tech Concession Stand,,S 10th & Carson St,Pittsburgh,PA,15203,Pittsburgh-117,654,School Satellite Kitchen/Exempt,9,8/24/1990,8/24/1990,,,,0,7,,,,"S 10th & Carson St Pittsburgh, PA 15203",#0000ff
46558,Koskey's Care Personal Care Home,621,Dornestic St,Pittsburgh,PA,15214,Pittsburgh-126,304,Personal Care Boarding Home,2,1/1/1985,1/1/1985,,,3,,7,,-80.02485553,40.49273453,"621 Dornestic St Pittsburgh, PA 15214",#0000ff
46439,West Side Elementary Traditional Academy,1865,Broadhead Fording Rd,Pittsburgh,PA,15205,Pittsburgh-128,652,School Full Service Kitchen/Exempt,9,10/19/1990,10/19/1990,,,,100,7,,,,"1865 Broadhead Fording Rd Pittsburgh, PA 15205",#0000ff
46444,Subway Sandwiches & Salads,401,Wood Street,Pittsburgh,PA,15222,Pittsburgh-101,212,Chain Restaurant without Liquor,1,10/22/1990,10/22/1990,1/8/2018,30,,,7,1,-80.0014098,40.43959658,"401 Wood Street Pittsburgh, PA 15222",#0000ff
46445,OMBC / Cafe One at BNY Mellon,500,Grant Street,Pittsburgh,PA,15222,Pittsburgh-102,211,Restaurant without Liquor,1,10/18/1990,10/18/1990,11/13/2014,190,,,7,1,-79.99589389,40.43964626,"500 Grant Street Pittsburgh, PA 15222",#0000ff
46429,Hunan's Palace,2360,Ardmore Boulevard,Pittsburgh,PA,15221,Forest Hills,211,Restaurant without Liquor,0,10/15/1990,10/15/1990,,57,,,1,1,-79.84874253,40.4155621,"2360 Ardmore Boulevard Pittsburgh, PA 15221",#0000ff
46430,City Deli & Catering Co,507,Market St,Pittsburgh,PA,15222,Pittsburgh-101,211,Restaurant without Liquor,7,10/12/1990,10/12/1990,,0,,,7,,-80.00207419,40.44169248,"507 Market St Pittsburgh, PA 15222",#0000ff
46437,Yen's Gourmet Restaurant,4219,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-115,211,Restaurant without Liquor,3,10/28/1991,10/28/1991,,45,,,7,,-79.9286141,40.42257231,"4219 Murray Ave Pittsburgh, PA 15217",#0000ff
40438,Uni-Mart 04647,612,Old Clairton Rd,Pittsburgh,PA,15236,Pleasant Hills,114,Chain Retail/Convenience Store,2,1/22/1986,1/22/1986,,,,2500,7,,-79.95740176,40.32503163,"612 Old Clairton Rd Pittsburgh, PA 15236",#0000ff
40439,Verona Road Shop'n Save,9001,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,112,Chain Supermarket,3,1/3/1986,1/3/1986,,,,38000,7,,-79.86525814,40.4626673,"9001 Frankstown Rd Pittsburgh, PA 15235",#0000ff
46187,Bey's Personal Care Home,8807,Bricelyn Street,Pittsburgh,PA,15221,Pittsburgh-113,304,Personal Care Boarding Home,1,1/1/1985,1/1/1985,,,6,,1,1,-79.87229633,40.46022525,"8807 Bricelyn Street Pittsburgh, PA 15221",#0000ff
45991,Dormont Pool Snack Bar,,Banksville Rd,Pittsburgh,PA,15216,Dormont,777,Seasonal/Pool Snack Bar,7,6/1/1990,6/1/1990,,,,0,7,,,,"Banksville Rd Pittsburgh, PA 15216",#0000ff
45997,Dairy Queen Brazier Of Carrick,1303,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,212,Chain Restaurant without Liquor,7,5/25/1990,5/25/1990,,18,,,0,,-79.98926237,40.40274143,"1303 Brownsville Rd Pittsburgh, PA 15210",#0000ff
46001,Real Luck Cafe,1519,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,201,Restaurant with Liquor,1,6/27/1990,6/27/1990,,40,,,1,1,-79.98811832,40.44862566,"1519 Penn Avenue Pittsburgh, PA 15222",#0000ff
45978,Sweet Tooth,1200,Lincoln Ave,Pittsburgh,PA,15206,Pittsburgh-112,212,Chain Restaurant without Liquor,6,6/7/1990,6/7/1990,,0,,,0,,-79.89842374,40.46472074,"1200 Lincoln Ave Pittsburgh, PA 15206",#0000ff
45979,Get N Go,963,Liberty Ave,Pittsburgh,PA,15222,Pittsburgh-102,211,Restaurant without Liquor,7,6/8/1990,6/8/1990,,56,,,7,,-79.995818,40.4437682,"963 Liberty Ave Pittsburgh, PA 15222",#0000ff
45982,China Palace II,5440,Walnut St,Pittsburgh,PA,15232,Pittsburgh-107,201,Restaurant with Liquor,0,6/20/1990,6/20/1990,,72,,,7,,-79.93391846,40.45086604,"5440 Walnut St Pittsburgh, PA 15232",#0000ff
45963,Mt Alvernia Scotus Hall,146,Hawthorne Rd,Pittsburgh,PA,15209,Millvale,654,School Satellite Kitchen/Exempt,9,6/6/1990,6/6/1990,,,,250,7,,-79.97061452,40.4927394,"146 Hawthorne Rd Pittsburgh, PA 15209",#0000ff
45969,Salac's Tavern,4517,Butler St,Pittsburgh,PA,15201,Pittsburgh-109,201,Restaurant with Liquor,1,5/9/1990,5/9/1990,2/5/2013,40,,,7,1,-79.9591663,40.47274974,"4517 Butler St Pittsburgh, PA 15201",#0000ff
45971,Stadium Lounge,210,Federal St,Pittsburgh,PA,15212,Pittsburgh-122,201,Restaurant with Liquor,7,6/19/1990,6/19/1990,,42,,,7,,-80.00403967,40.44865068,"210 Federal St Pittsburgh, PA 15212",#0000ff
45974,Morningside Ice,6908,Greenwood St,Pittsburgh,PA,15206,Pittsburgh-110,211,Restaurant without Liquor,2,6/13/1990,6/13/1990,,0,,,7,,-79.92564321,40.48505432,"6908 Greenwood St Pittsburgh, PA 15206",#0000ff
44069,Kinder Care Learning Center #301280,5000,Cheryl Drive,Pittsburgh,PA,15237,Ross,653,School Satellite Kitchen,1,10/7/1988,10/7/1988,,,,100,1,1,-80.00658583,40.53877745,"5000 Cheryl Drive Pittsburgh, PA 15237",#0000ff
44058,Kaufmann's Candy,1000,Ross Park Mall Dr / Ross Park Mall,Pittsburgh,PA,15237,Ross,116,Chain Packaged Food Only,3,9/16/1988,9/16/1988,,,,200,7,,-80.00846843,40.54289281,"1000 Ross Park Mall Dr / Ross Park Mall Pittsburgh, PA 15237",#0000ff
34078,Ye Allegheny Sandwich Shop,822,Western Avenue,Pittsburgh,PA,15233,Pittsburgh-122,212,Chain Restaurant without Liquor,0,6/17/1984,6/17/1984,,50,,,1,1,-80.01511839,40.45246148,"822 Western Avenue Pittsburgh, PA 15233",#0000ff
33830,The Pretzel Shop,2316,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,113,Retail/Convenience Store,0,1/7/1981,1/7/1981,,,,938,1,1,-79.97223196,40.42805868,"2316 E Carson St Pittsburgh, PA 15203",#0000ff
33540,7 Eleven,3955,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,114,Chain Retail/Convenience Store,7,12/5/1980,12/5/1980,,,,1500,7,,,,"3955 Forbes Ave Pittsburgh, PA 15213",#0000ff
33264,Regent Bottling Co,7500,Melrose St,Pittsburgh,PA,15218,Swissvale,172,Food Processor,7,3/1/1981,3/1/1981,,,,20000,7,,-79.88188083,40.41644617,"7500 Melrose St Pittsburgh, PA 15218",#0000ff
44773,Urban League Greater Pittsburgh,101,Hazlett Street,Pittsburgh,PA,15214,Pittsburgh-126,412,Food Banks/ Food Pantries,2,6/16/1989,6/16/1989,,,,500,1,1,-80.00236034,40.47758133,"101 Hazlett Street Pittsburgh, PA 15214",#0000ff
44777,Pittsburgh Playhouse,222,Craft Ave,Pittsburgh,PA,15213,Pittsburgh-104,115,Packaged Food Only,8,7/1/1989,7/1/1989,,,,50,7,,-79.9625736,40.43637605,"222 Craft Ave Pittsburgh, PA 15213",#0000ff
44778,UPMC Montefiore Gift Shop,3459,5th Ave,Pittsburgh,PA,15213,Pittsburgh-104,410,Community Service Facility,2,1/1/1989,1/1/1989,,,,100,1,1,-79.96142057,40.44035125,"3459 5th Ave Pittsburgh, PA 15213",#0000ff
46400,Assumption School Cafeteria,35,Jackson Avenue,Pittsburgh,PA,15202,Bellevue,651,School Full Service Kitchen,9,9/25/1990,9/25/1990,6/12/2018,,,150,7,1,,,"35 Jackson Avenue Pittsburgh, PA 15202",#0000ff
46401,St Norbert Church Hall,2413,St Norbert St,Pittsburgh,PA,15234,Pittsburgh-132,407,Church Kitchen,1,9/21/1990,9/21/1990,4/24/2017,,,500,7,1,-79.99399971,40.38327012,"2413 St Norbert St Pittsburgh, PA 15234",#0000ff
46405,Marshall's Lounge,1254,Brookline Boulevard,Pittsburgh,PA,15226,Pittsburgh-119,201,Restaurant with Liquor,1,10/1/1990,10/1/1990,,20,,,1,1,-80.01102288,40.3919986,"1254 Brookline Boulevard Pittsburgh, PA 15226",#0000ff
46408,Georgetown Ctr,526,E Bruceton Rd,Pittsburgh,PA,15236,Pleasant Hills,203,Banquet Hall,0,10/3/1990,10/3/1990,,400,,,1,1,-79.94780165,40.3281691,"526 E Bruceton Rd Pittsburgh, PA 15236",#0000ff
46396,Station Square Exxon,73,E Carson St,Pittsburgh,PA,15219,Pittsburgh-117,114,Chain Retail/Convenience Store,1,10/2/1990,10/2/1990,8/30/2012,,,800,7,1,-80.0010724,40.43100879,"73 E Carson St Pittsburgh, PA 15219",#0000ff
46379,Happy Family Chinese Restaurant,147,Brownsville Rd,Pittsburgh,PA,15210,Mt Oliver,211,Restaurant without Liquor,3,9/7/1990,9/7/1990,,35,,,7,,-79.98685137,40.41625208,"147 Brownsville Rd Pittsburgh, PA 15210",#0000ff
46382,Caffe'Zio,116,Bouquet St,Pittsburgh,PA,15213,Pittsburgh-104,211,Restaurant without Liquor,7,9/18/1990,9/18/1990,,0,,,7,,,,"116 Bouquet St Pittsburgh, PA 15213",#0000ff
46373,Conways Restaurant,301,Freeport Rd,Pittsburgh,PA,15215,Aspinwall,201,Restaurant with Liquor,3,9/12/1990,9/12/1990,,70,,,7,,-79.90326643,40.48957454,"301 Freeport Rd Pittsburgh, PA 15215",#0000ff
46372,Gloria Jean's Gourmet Coffee Bean's,1000,Ross Park Mall Dr  /  Dr J15,Pittsburgh,PA,15237,Ross,114,Chain Retail/Convenience Store,1,9/19/1990,9/19/1990,,,,990,7,,,,"1000 Ross Park Mall Dr  /  Dr J15 Pittsburgh, PA 15237",#0000ff
46347,Highland Park Zoo /Jambo Grill,1,Wild  Place,Pittsburgh,PA,15206,Pittsburgh-111,211,Restaurant without Liquor,1,6/1/1990,6/1/1990,,0,,,1,1,,,"1 Wild  Place Pittsburgh, PA 15206",#0000ff
46352,Family Links -18th Ward,843,Climax Street,Pittsburgh,PA,15210,Pittsburgh-118,306,Traditional Boarding Home,0,1/1/1985,1/1/1985,,,29,,1,1,-79.99208696,40.42022804,"843 Climax Street Pittsburgh, PA 15210",#0000ff
46174,Lotus Noodle Co,2010,Smallman St,Pittsburgh,PA,15222,Pittsburgh-102,172,Food Processor,3,8/1/1990,8/1/1990,,,,19800,7,,-79.98414242,40.45179691,"2010 Smallman St Pittsburgh, PA 15222",#0000ff
46167,Jamaican Patties,,Point State Park,Pittsburgh,PA,15222,Pittsburgh-101,212,Chain Restaurant without Liquor,0,8/3/1990,8/3/1990,,0,,,7,,,,"Point State Park Pittsburgh, PA 15222",#0000ff
46134,Mark Pi's China Gate,1500,Washington Rd / Mezzini,Pittsburgh,PA,15228,Mt Lebanon,202,Chain Restaurant with Liquor,0,8/3/1990,8/3/1990,2/20/2015,138,,,7,1,-80.0512874,40.35687602,"1500 Washington Rd / Mezzini Pittsburgh, PA 15228",#0000ff
46135,Sweet Basil Bar & Grill,5882,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,201,Restaurant with Liquor,3,8/3/1990,8/3/1990,,48,,,7,,-79.91967735,40.4378032,"5882 Forbes Ave Pittsburgh, PA 15217",#0000ff
46098,Subway Sandwiches & Salads #3505,809,West View Park Drive,Pittsburgh,PA,15229,West View,212,Chain Restaurant without Liquor,1,5/18/1990,5/18/1990,,32,,,1,1,-80.03286693,40.51697786,"809 West View Park Drive Pittsburgh, PA 15229",#0000ff
44020,Holiday Inn University Center / Bridges,100,Lytton Ave,Pittsburgh,PA,15213,Pittsburgh-104,201,Restaurant with Liquor,0,9/28/1988,9/28/1988,3/19/2013,184,,,7,1,-79.95462979,40.44609265,"100 Lytton Ave Pittsburgh, PA 15213",#0000ff
44023,St Bede School Cafeteria,6920,Edgerton Ave,Pittsburgh,PA,15208,Pittsburgh-114,651,School Full Service Kitchen,9,9/22/1988,9/22/1988,,,,600,1,1,-79.91001506,40.44731833,"6920 Edgerton Ave Pittsburgh, PA 15208",#0000ff
44024,HoneyBaked Ham Store,4780,McKnight Road,Pittsburgh,PA,15237,Ross,114,Chain Retail/Convenience Store,1,9/23/1988,9/23/1988,,,,3200,1,1,-80.00464057,40.52390433,"4780 McKnight Road Pittsburgh, PA 15237",#0000ff
44026,Images Bar,965,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,201,Restaurant with Liquor,1,10/13/1988,10/13/1988,7/31/2019,36,,,7,1,-79.99574284,40.44378861,"965 Liberty Avenue Pittsburgh, PA 15222",#0000ff
44003,Horace Mann Elementary School,2819,Shadeland Ave,Pittsburgh,PA,15212,Pittsburgh-127,654,School Satellite Kitchen/Exempt,9,9/19/1988,9/19/1988,,,,500,7,,-80.03098395,40.47028671,"2819 Shadeland Ave Pittsburgh, PA 15212",#0000ff
44005,Apollo Cafe,429,Forbes Avenue,Pittsburgh,PA,15219,Pittsburgh-102,211,Restaurant without Liquor,0,9/19/1988,9/19/1988,,60,,,1,1,-79.99784869,40.43914337,"429 Forbes Avenue Pittsburgh, PA 15219",#0000ff
44779,Penn Hills Bar & Grill,11507,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,201,Restaurant with Liquor,1,6/30/1989,6/30/1989,,30,,,1,1,-79.83127897,40.46528873,"11507 Frankstown Rd Pittsburgh, PA 15235",#0000ff
44749,Burger King,4810,McKnight Rd,Pittsburgh,PA,15237,Ross,212,Chain Restaurant without Liquor,3,6/8/1989,6/8/1989,,94,,,7,,-80.00496274,40.52537394,"4810 McKnight Rd Pittsburgh, PA 15237",#0000ff
44717,Rosenbaum's Deli,614,Smithfield St,Pittsburgh,PA,15222,Pittsburgh-102,211,Restaurant without Liquor,7,6/1/1989,6/1/1989,,62,,,7,,,,"614 Smithfield St Pittsburgh, PA 15222",#0000ff
44552,Salvation Army Community Center,6017,Broad St,Pittsburgh,PA,15206,Pittsburgh-111,410,Community Service Facility,1,4/24/1989,4/24/1989,,,,1000,7,,-79.9236764,40.46243176,"6017 Broad St Pittsburgh, PA 15206",#0000ff
44526,Jimmy's Downtown Pizza/Lounge,105-107,Smithfield St,Pittsburgh,PA,15222,Pittsburgh-101,201,Restaurant with Liquor,3,4/7/1989,4/7/1989,,86,,,7,,,,"105-107 Smithfield St Pittsburgh, PA 15222",#0000ff
46099,Max & Erma's #333038,1910,Cochran  Road,Pittsburgh,PA,15220,Scott,202,Chain Restaurant with Liquor,0,7/31/1990,7/31/1990,2/17/2016,180,,,7,1,-80.06392998,40.39359485,"1910 Cochran  Road Pittsburgh, PA 15220",#0000ff
46085,Phillips Park Recreation Center,201,Parkfield  Street,Pittsburgh,PA,15210,Pittsburgh-129,403,Child Food Service,1,7/12/1990,7/12/1990,,,,0,1,1,-79.99101404,40.39145751,"201 Parkfield  Street Pittsburgh, PA 15210",#0000ff
46086,Pita Garden,735,Copeland St,Pittsburgh,PA,15232,Pittsburgh-107,211,Restaurant without Liquor,3,7/24/1990,7/24/1990,,0,,,7,,-79.93460409,40.45116034,"735 Copeland St Pittsburgh, PA 15232",#0000ff
46088,Donut Connection,410,Forbes Ave,Pittsburgh,PA,15219,Pittsburgh-101,212,Chain Restaurant without Liquor,3,7/12/1990,7/12/1990,,0,,,7,,,,"410 Forbes Ave Pittsburgh, PA 15219",#0000ff
44317,Jocko's Pub,901,Main St,Pittsburgh,PA,15215,Sharpsburg,201,Restaurant with Liquor,1,1/30/1989,1/30/1989,,56,,,1,1,-79.93367457,40.49441442,"901 Main St Pittsburgh, PA 15215",#0000ff
44318,The New Linden Grove,1100,Grove Rd,Pittsburgh,PA,15234,Castle Shannon,201,Restaurant with Liquor,1,2/2/1989,2/2/1989,,125,,,7,,-80.0142832,40.36749405,"1100 Grove Rd Pittsburgh, PA 15234",#0000ff
44300,Silver Bullet,2009,Penn Ave,Pittsburgh,PA,15222,Pittsburgh-102,201,Restaurant with Liquor,7,1/25/1989,1/25/1989,,28,,,7,,-79.98380734,40.45141457,"2009 Penn Ave Pittsburgh, PA 15222",#0000ff
44303,Dana Kline Catering,741,Lorenz Ave,Pittsburgh,PA,15220,Pittsburgh-120,100,Caterer,3,1/19/1989,1/19/1989,,,,504,0,,,,"741 Lorenz Ave Pittsburgh, PA 15220",#0000ff
